ID,S_Value,Visibility,Phase_Jitter,BitFlip,Noise
257,2.828427124,0.978245609,0.278601823,0.003034102,0.034243592
258,2.828427124,0.993478012,2.838863483,0.011524869,0.025471888
259,2.828427124,0.992656901,2.252665602,0.006972286,0.011686062
260,2.828427124,0.838464175,17.66939613,0.032858516,0.034052878
261,2.828427124,0.791138506,26.2572812,0.010685655,0.037713226
262,2.828427124,0.988796976,2.832506522,0.002534479,0.016135801
263,2.828427124,0.950877916,4.116522236,0.002627022,0.039227418
264,2.828427124,0.88886898,8.500841308,0.002829503,0.050383872
265,2.828427124,0.984005023,13.48385626,0.014054406,0.033861621
266,2.828427124,0.971694896,14.73809486,0.010067635,0.049465567
267,2.828427124,0.998796888,0.285951609,0,0.032776348
268,2.828427123,0.996669054,0.23209552,0.003908504,0.012830987
269,2.828427123,0.976125873,3.01803771,0,0.01670209
270,2.828427123,0.943554711,4.512241221,0.009143255,0.010138513
271,2.828427123,0.950981588,5.05439093,0.003118563,0.025604535
272,2.828427123,0.956399328,12.19015578,0.014417179,0.007829983
273,2.828427123,0.985287107,0,0.008424702,0.1
274,2.828427123,0.996598012,4.759782771,0.004887739,0.01600144
275,2.828427123,0.998139411,0.846366049,0.003590111,0.000465016
276,2.828427123,0.999590112,11.64793798,0.032194915,0.012782934
277,2.828427123,0.984040194,2.166809005,0.001272733,0.024336477
278,2.828427123,0.992995663,0.728032234,0.002901448,0.004380652
279,2.828427123,0.982767105,0.86138576,0.003156236,0.034633809
280,2.828427123,1,0.202872188,0.000132502,0.016420389
281,2.828427123,0.956359981,2.513193918,0.008381909,0.1
282,2.828427123,0.998413278,0.645757393,0.003023026,0.014157789
283,2.828427123,0.983992372,2.177742453,0.001999535,0.003201651
284,2.828427123,0.98975779,2.009282929,0.001641578,0.001998372
285,2.828427123,0.953416766,2.191360412,0.005666393,0.047114881
286,2.828427123,0.982886785,6.980960818,0.008352243,0.1
287,2.828427123,0.921096526,11.16732416,0.021116728,0.024017782
288,2.828427123,0.99971833,1.543130111,0.011969684,0.026517143
289,2.828427123,0.985405555,0.815021489,0.001990974,0.013369766
290,2.828427123,0.953702408,0.29961844,0.001781093,0.1
291,2.828427123,1,1.098348221,0.002439077,0.024869825
292,2.828427123,0.985968436,2.327004402,0.006732882,0.014681676
293,2.828427123,0.996642518,6.445742618,0.017785655,0.049798176
294,2.828427123,0.99190293,0.866798409,0.000236737,0.000761297
295,2.828427123,0.9967536,21.05107555,0.038420818,0.1
296,2.828427123,0.998548615,11.5115842,0.012318559,0.021765395
297,2.828427123,0.996917132,2.048126939,0.000422238,0.009315166
298,2.828427123,0.999629342,2.602546618,0.00403606,0.043538947
299,2.828427123,0.998552815,0.760507701,0.003832753,0.028081855
300,2.828427123,0.955360719,14.11771686,0.042336798,0.026671251
301,2.828427123,0.991020472,9.270488387,0.009619088,0.009782634
